"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
25000,549,0.25,1,250,56052,1646,1,3,1000,100,100,1
50000,549,0.25,1,500,21257,1647,1,3,1000,100,100,1
10000,550,0.25,1,100,30103,1648,1,3,1000,100,100,1
25000,550,0.25,1,250,25424,1649,1,3,1000,100,100,1
50000,550,0.25,1,500,50375,1650,1,3,1000,100,100,1
10000,551,0.25,1,100,13744,1651,1,3,1000,100,100,1
25000,551,0.25,1,250,8426,1652,1,3,1000,100,100,1
50000,551,0.25,1,500,82806,1653,1,3,1000,100,100,1
10000,552,0.25,1,100,1466,1654,1,3,1000,100,100,1
25000,552,0.25,1,250,15961,1655,1,3,1000,100,100,1
50000,552,0.25,1,500,70509,1656,1,3,1000,100,100,1
10000,553,0.25,1,100,40715,1657,1,3,1000,100,100,1
25000,553,0.25,1,250,13568,1658,1,3,1000,100,100,1
50000,553,0.25,1,500,56824,1659,1,3,1000,100,100,1
10000,554,0.25,1,100,60056,1660,1,3,1000,100,100,1
25000,554,0.25,1,250,81024,1661,1,3,1000,100,100,1
50000,554,0.25,1,500,10817,1662,1,3,1000,100,100,1
10000,555,0.25,1,100,6820,1663,1,3,1000,100,100,1
25000,555,0.25,1,250,30793,1664,1,3,1000,100,100,1
50000,555,0.25,1,500,7188,1665,1,3,1000,100,100,1
10000,556,0.25,1,100,70565,1666,1,3,1000,100,100,1
25000,556,0.25,1,250,55563,1667,1,3,1000,100,100,1
50000,556,0.25,1,500,67436,1668,1,3,1000,100,100,1
10000,557,0.25,1,100,44621,1669,1,3,1000,100,100,1
25000,557,0.25,1,250,71438,1670,1,3,1000,100,100,1
50000,557,0.25,1,500,57987,1671,1,3,1000,100,100,1
10000,558,0.25,1,100,48801,1672,1,3,1000,100,100,1
25000,558,0.25,1,250,23425,1673,1,3,1000,100,100,1
50000,558,0.25,1,500,11426,1674,1,3,1000,100,100,1
10000,559,0.25,1,100,89491,1675,1,3,1000,100,100,1
25000,559,0.25,1,250,40618,1676,1,3,1000,100,100,1
50000,559,0.25,1,500,9996,1677,1,3,1000,100,100,1
10000,560,0.25,1,100,46175,1678,1,3,1000,100,100,1
25000,560,0.25,1,250,4717,1679,1,3,1000,100,100,1
50000,560,0.25,1,500,51190,1680,1,3,1000,100,100,1
10000,561,0.25,1,100,2156,1681,1,3,1000,100,100,1
25000,561,0.25,1,250,34147,1682,1,3,1000,100,100,1
50000,561,0.25,1,500,26407,1683,1,3,1000,100,100,1
10000,562,0.25,1,100,47098,1684,1,3,1000,100,100,1
25000,562,0.25,1,250,33498,1685,1,3,1000,100,100,1
50000,562,0.25,1,500,15778,1686,1,3,1000,100,100,1
10000,563,0.25,1,100,51456,1687,1,3,1000,100,100,1
25000,563,0.25,1,250,11204,1688,1,3,1000,100,100,1
50000,563,0.25,1,500,68262,1689,1,3,1000,100,100,1
10000,564,0.25,1,100,63782,1690,1,3,1000,100,100,1
25000,564,0.25,1,250,72660,1691,1,3,1000,100,100,1
50000,564,0.25,1,500,75204,1692,1,3,1000,100,100,1
10000,565,0.25,1,100,66042,1693,1,3,1000,100,100,1
25000,565,0.25,1,250,41264,1694,1,3,1000,100,100,1
50000,565,0.25,1,500,58343,1695,1,3,1000,100,100,1
10000,566,0.25,1,100,90521,1696,1,3,1000,100,100,1
25000,566,0.25,1,250,71414,1697,1,3,1000,100,100,1
50000,566,0.25,1,500,75532,1698,1,3,1000,100,100,1
10000,567,0.25,1,100,51583,1699,1,3,1000,100,100,1
25000,567,0.25,1,250,37413,1700,1,3,1000,100,100,1
50000,567,0.25,1,500,69459,1701,1,3,1000,100,100,1
10000,568,0.25,1,100,5752,1702,1,3,1000,100,100,1
25000,568,0.25,1,250,80370,1703,1,3,1000,100,100,1
50000,568,0.25,1,500,43998,1704,1,3,1000,100,100,1
10000,569,0.25,1,100,26890,1705,1,3,1000,100,100,1
25000,569,0.25,1,250,56270,1706,1,3,1000,100,100,1
50000,569,0.25,1,500,33668,1707,1,3,1000,100,100,1
10000,570,0.25,1,100,12572,1708,1,3,1000,100,100,1
25000,570,0.25,1,250,94980,1709,1,3,1000,100,100,1
50000,570,0.25,1,500,35222,1710,1,3,1000,100,100,1
10000,571,0.25,1,100,22141,1711,1,3,1000,100,100,1
25000,571,0.25,1,250,59846,1712,1,3,1000,100,100,1
50000,571,0.25,1,500,71914,1713,1,3,1000,100,100,1
10000,572,0.25,1,100,11495,1714,1,3,1000,100,100,1
25000,572,0.25,1,250,36448,1715,1,3,1000,100,100,1
50000,572,0.25,1,500,24753,1716,1,3,1000,100,100,1
10000,573,0.25,1,100,28695,1717,1,3,1000,100,100,1
25000,573,0.25,1,250,48849,1718,1,3,1000,100,100,1
50000,573,0.25,1,500,42145,1719,1,3,1000,100,100,1
10000,574,0.25,1,100,3181,1720,1,3,1000,100,100,1
25000,574,0.25,1,250,27731,1721,1,3,1000,100,100,1
50000,574,0.25,1,500,33351,1722,1,3,1000,100,100,1
10000,575,0.25,1,100,26859,1723,1,3,1000,100,100,1
25000,575,0.25,1,250,1296,1724,1,3,1000,100,100,1
50000,575,0.25,1,500,32350,1725,1,3,1000,100,100,1
10000,576,0.25,1,100,95843,1726,1,3,1000,100,100,1
25000,576,0.25,1,250,18925,1727,1,3,1000,100,100,1
50000,576,0.25,1,500,27910,1728,1,3,1000,100,100,1
10000,577,0.25,1,100,87699,1729,1,3,1000,100,100,1
25000,577,0.25,1,250,75644,1730,1,3,1000,100,100,1
50000,577,0.25,1,500,57883,1731,1,3,1000,100,100,1
10000,578,0.25,1,100,67935,1732,1,3,1000,100,100,1
25000,578,0.25,1,250,26647,1733,1,3,1000,100,100,1
50000,578,0.25,1,500,78783,1734,1,3,1000,100,100,1
10000,579,0.25,1,100,59336,1735,1,3,1000,100,100,1
25000,579,0.25,1,250,14710,1736,1,3,1000,100,100,1
50000,579,0.25,1,500,92342,1737,1,3,1000,100,100,1
10000,580,0.25,1,100,26439,1738,1,3,1000,100,100,1
25000,580,0.25,1,250,69672,1739,1,3,1000,100,100,1
50000,580,0.25,1,500,60334,1740,1,3,1000,100,100,1
10000,581,0.25,1,100,48588,1741,1,3,1000,100,100,1
25000,581,0.25,1,250,80689,1742,1,3,1000,100,100,1
50000,581,0.25,1,500,72227,1743,1,3,1000,100,100,1
10000,582,0.25,1,100,5575,1744,1,3,1000,100,100,1
25000,582,0.25,1,250,89111,1745,1,3,1000,100,100,1
50000,582,0.25,1,500,49261,1746,1,3,1000,100,100,1
10000,583,0.25,1,100,92845,1747,1,3,1000,100,100,1
25000,583,0.25,1,250,31857,1748,1,3,1000,100,100,1
50000,583,0.25,1,500,76882,1749,1,3,1000,100,100,1
10000,584,0.25,1,100,39681,1750,1,3,1000,100,100,1
25000,584,0.25,1,250,58005,1751,1,3,1000,100,100,1
50000,584,0.25,1,500,67219,1752,1,3,1000,100,100,1
10000,585,0.25,1,100,41673,1753,1,3,1000,100,100,1
25000,585,0.25,1,250,81976,1754,1,3,1000,100,100,1
50000,585,0.25,1,500,27,1755,1,3,1000,100,100,1
10000,586,0.25,1,100,7634,1756,1,3,1000,100,100,1
25000,586,0.25,1,250,21673,1757,1,3,1000,100,100,1
50000,586,0.25,1,500,87625,1758,1,3,1000,100,100,1
10000,587,0.25,1,100,60687,1759,1,3,1000,100,100,1
25000,587,0.25,1,250,57814,1760,1,3,1000,100,100,1
50000,587,0.25,1,500,8312,1761,1,3,1000,100,100,1
10000,588,0.25,1,100,14358,1762,1,3,1000,100,100,1
25000,588,0.25,1,250,59538,1763,1,3,1000,100,100,1
50000,588,0.25,1,500,95224,1764,1,3,1000,100,100,1
10000,589,0.25,1,100,28219,1765,1,3,1000,100,100,1
25000,589,0.25,1,250,81110,1766,1,3,1000,100,100,1
50000,589,0.25,1,500,90138,1767,1,3,1000,100,100,1
10000,590,0.25,1,100,60188,1768,1,3,1000,100,100,1
25000,590,0.25,1,250,23154,1769,1,3,1000,100,100,1
50000,590,0.25,1,500,79781,1770,1,3,1000,100,100,1
10000,591,0.25,1,100,71825,1771,1,3,1000,100,100,1
25000,591,0.25,1,250,65266,1772,1,3,1000,100,100,1
50000,591,0.25,1,500,79418,1773,1,3,1000,100,100,1
10000,592,0.25,1,100,17882,1774,1,3,1000,100,100,1
25000,592,0.25,1,250,19495,1775,1,3,1000,100,100,1
50000,592,0.25,1,500,3700,1776,1,3,1000,100,100,1
10000,593,0.25,1,100,27313,1777,1,3,1000,100,100,1
25000,593,0.25,1,250,48779,1778,1,3,1000,100,100,1
50000,593,0.25,1,500,50141,1779,1,3,1000,100,100,1
10000,594,0.25,1,100,76781,1780,1,3,1000,100,100,1
25000,594,0.25,1,250,12449,1781,1,3,1000,100,100,1
50000,594,0.25,1,500,40794,1782,1,3,1000,100,100,1
10000,595,0.25,1,100,842,1783,1,3,1000,100,100,1
25000,595,0.25,1,250,856,1784,1,3,1000,100,100,1
50000,595,0.25,1,500,88533,1785,1,3,1000,100,100,1
10000,596,0.25,1,100,1982,1786,1,3,1000,100,100,1
25000,596,0.25,1,250,69334,1787,1,3,1000,100,100,1
50000,596,0.25,1,500,88029,1788,1,3,1000,100,100,1
10000,597,0.25,1,100,37351,1789,1,3,1000,100,100,1
25000,597,0.25,1,250,99714,1790,1,3,1000,100,100,1
50000,597,0.25,1,500,28728,1791,1,3,1000,100,100,1
10000,598,0.25,1,100,75919,1792,1,3,1000,100,100,1
25000,598,0.25,1,250,86012,1793,1,3,1000,100,100,1
50000,598,0.25,1,500,20657,1794,1,3,1000,100,100,1
10000,599,0.25,1,100,58506,1795,1,3,1000,100,100,1
25000,599,0.25,1,250,43253,1796,1,3,1000,100,100,1
50000,599,0.25,1,500,91231,1797,1,3,1000,100,100,1
10000,600,0.25,1,100,22526,1798,1,3,1000,100,100,1
25000,600,0.25,1,250,1415,1799,1,3,1000,100,100,1
50000,600,0.25,1,500,61234,1800,1,3,1000,100,100,1
10000,601,0.25,1,100,42467,1801,1,3,1000,100,100,1
25000,601,0.25,1,250,22074,1802,1,3,1000,100,100,1
50000,601,0.25,1,500,51255,1803,1,3,1000,100,100,1
10000,602,0.25,1,100,75936,1804,1,3,1000,100,100,1
25000,602,0.25,1,250,55518,1805,1,3,1000,100,100,1
50000,602,0.25,1,500,9295,1806,1,3,1000,100,100,1
10000,603,0.25,1,100,50230,1807,1,3,1000,100,100,1
25000,603,0.25,1,250,99537,1808,1,3,1000,100,100,1
50000,603,0.25,1,500,23045,1809,1,3,1000,100,100,1
10000,604,0.25,1,100,36280,1810,1,3,1000,100,100,1
25000,604,0.25,1,250,54853,1811,1,3,1000,100,100,1
50000,604,0.25,1,500,95137,1812,1,3,1000,100,100,1
10000,605,0.25,1,100,58125,1813,1,3,1000,100,100,1
25000,605,0.25,1,250,78901,1814,1,3,1000,100,100,1
50000,605,0.25,1,500,51997,1815,1,3,1000,100,100,1
10000,606,0.25,1,100,34222,1816,1,3,1000,100,100,1
25000,606,0.25,1,250,66993,1817,1,3,1000,100,100,1
50000,606,0.25,1,500,74031,1818,1,3,1000,100,100,1
10000,607,0.25,1,100,89661,1819,1,3,1000,100,100,1
25000,607,0.25,1,250,50305,1820,1,3,1000,100,100,1
50000,607,0.25,1,500,65565,1821,1,3,1000,100,100,1
10000,608,0.25,1,100,13134,1822,1,3,1000,100,100,1
25000,608,0.25,1,250,21526,1823,1,3,1000,100,100,1
50000,608,0.25,1,500,85425,1824,1,3,1000,100,100,1
10000,609,0.25,1,100,80522,1825,1,3,1000,100,100,1
25000,609,0.25,1,250,72252,1826,1,3,1000,100,100,1
50000,609,0.25,1,500,45220,1827,1,3,1000,100,100,1
10000,610,0.25,1,100,25164,1828,1,3,1000,100,100,1
25000,610,0.25,1,250,34808,1829,1,3,1000,100,100,1
50000,610,0.25,1,500,52009,1830,1,3,1000,100,100,1
10000,611,0.25,1,100,93189,1831,1,3,1000,100,100,1
25000,611,0.25,1,250,13419,1832,1,3,1000,100,100,1
50000,611,0.25,1,500,53024,1833,1,3,1000,100,100,1
10000,612,0.25,1,100,35277,1834,1,3,1000,100,100,1
25000,612,0.25,1,250,9230,1835,1,3,1000,100,100,1
50000,612,0.25,1,500,43952,1836,1,3,1000,100,100,1
10000,613,0.25,1,100,79144,1837,1,3,1000,100,100,1
25000,613,0.25,1,250,6706,1838,1,3,1000,100,100,1
50000,613,0.25,1,500,63901,1839,1,3,1000,100,100,1
10000,614,0.25,1,100,93654,1840,1,3,1000,100,100,1
25000,614,0.25,1,250,5015,1841,1,3,1000,100,100,1
50000,614,0.25,1,500,19837,1842,1,3,1000,100,100,1
10000,615,0.25,1,100,23748,1843,1,3,1000,100,100,1
25000,615,0.25,1,250,53193,1844,1,3,1000,100,100,1
50000,615,0.25,1,500,26826,1845,1,3,1000,100,100,1
10000,616,0.25,1,100,31043,1846,1,3,1000,100,100,1
25000,616,0.25,1,250,43035,1847,1,3,1000,100,100,1
50000,616,0.25,1,500,62566,1848,1,3,1000,100,100,1
10000,617,0.25,1,100,11938,1849,1,3,1000,100,100,1
25000,617,0.25,1,250,85515,1850,1,3,1000,100,100,1
50000,617,0.25,1,500,53345,1851,1,3,1000,100,100,1
10000,618,0.25,1,100,62309,1852,1,3,1000,100,100,1
25000,618,0.25,1,250,79256,1853,1,3,1000,100,100,1
50000,618,0.25,1,500,41032,1854,1,3,1000,100,100,1
10000,619,0.25,1,100,68251,1855,1,3,1000,100,100,1
25000,619,0.25,1,250,13591,1856,1,3,1000,100,100,1
50000,619,0.25,1,500,93566,1857,1,3,1000,100,100,1
10000,620,0.25,1,100,54195,1858,1,3,1000,100,100,1
25000,620,0.25,1,250,62652,1859,1,3,1000,100,100,1
50000,620,0.25,1,500,45288,1860,1,3,1000,100,100,1
10000,621,0.25,1,100,28115,1861,1,3,1000,100,100,1
25000,621,0.25,1,250,64635,1862,1,3,1000,100,100,1
50000,621,0.25,1,500,68542,1863,1,3,1000,100,100,1
10000,622,0.25,1,100,94988,1864,1,3,1000,100,100,1
25000,622,0.25,1,250,71960,1865,1,3,1000,100,100,1
50000,622,0.25,1,500,52431,1866,1,3,1000,100,100,1
10000,623,0.25,1,100,47797,1867,1,3,1000,100,100,1
25000,623,0.25,1,250,42281,1868,1,3,1000,100,100,1
50000,623,0.25,1,500,88456,1869,1,3,1000,100,100,1
10000,624,0.25,1,100,68558,1870,1,3,1000,100,100,1
25000,624,0.25,1,250,12818,1871,1,3,1000,100,100,1
50000,624,0.25,1,500,92708,1872,1,3,1000,100,100,1
10000,625,0.25,1,100,43568,1873,1,3,1000,100,100,1
25000,625,0.25,1,250,43314,1874,1,3,1000,100,100,1
50000,625,0.25,1,500,46457,1875,1,3,1000,100,100,1
10000,626,0.25,1,100,96077,1876,1,3,1000,100,100,1
25000,626,0.25,1,250,41793,1877,1,3,1000,100,100,1
50000,626,0.25,1,500,41286,1878,1,3,1000,100,100,1
10000,627,0.25,1,100,35948,1879,1,3,1000,100,100,1
25000,627,0.25,1,250,58716,1880,1,3,1000,100,100,1
50000,627,0.25,1,500,82330,1881,1,3,1000,100,100,1
10000,628,0.25,1,100,16975,1882,1,3,1000,100,100,1
25000,628,0.25,1,250,88850,1883,1,3,1000,100,100,1
50000,628,0.25,1,500,96492,1884,1,3,1000,100,100,1
10000,629,0.25,1,100,41018,1885,1,3,1000,100,100,1
25000,629,0.25,1,250,75536,1886,1,3,1000,100,100,1
50000,629,0.25,1,500,30495,1887,1,3,1000,100,100,1
10000,630,0.25,1,100,3457,1888,1,3,1000,100,100,1
25000,630,0.25,1,250,64240,1889,1,3,1000,100,100,1
50000,630,0.25,1,500,79925,1890,1,3,1000,100,100,1
10000,631,0.25,1,100,78410,1891,1,3,1000,100,100,1
25000,631,0.25,1,250,75270,1892,1,3,1000,100,100,1
50000,631,0.25,1,500,6587,1893,1,3,1000,100,100,1
10000,632,0.25,1,100,32221,1894,1,3,1000,100,100,1
25000,632,0.25,1,250,734,1895,1,3,1000,100,100,1
50000,632,0.25,1,500,35211,1896,1,3,1000,100,100,1
10000,633,0.25,1,100,55885,1897,1,3,1000,100,100,1
25000,633,0.25,1,250,13821,1898,1,3,1000,100,100,1
50000,633,0.25,1,500,97900,1899,1,3,1000,100,100,1
10000,634,0.25,1,100,99499,1900,1,3,1000,100,100,1
25000,634,0.25,1,250,18395,1901,1,3,1000,100,100,1
50000,634,0.25,1,500,4512,1902,1,3,1000,100,100,1
10000,635,0.25,1,100,3544,1903,1,3,1000,100,100,1
25000,635,0.25,1,250,72788,1904,1,3,1000,100,100,1
50000,635,0.25,1,500,84472,1905,1,3,1000,100,100,1
10000,636,0.25,1,100,67735,1906,1,3,1000,100,100,1
25000,636,0.25,1,250,94394,1907,1,3,1000,100,100,1
50000,636,0.25,1,500,4378,1908,1,3,1000,100,100,1
10000,637,0.25,1,100,42717,1909,1,3,1000,100,100,1
25000,637,0.25,1,250,57152,1910,1,3,1000,100,100,1
50000,637,0.25,1,500,91154,1911,1,3,1000,100,100,1
10000,638,0.25,1,100,8001,1912,1,3,1000,100,100,1
25000,638,0.25,1,250,81692,1913,1,3,1000,100,100,1
50000,638,0.25,1,500,22044,1914,1,3,1000,100,100,1
10000,639,0.25,1,100,3116,1915,1,3,1000,100,100,1
25000,639,0.25,1,250,4723,1916,1,3,1000,100,100,1
50000,639,0.25,1,500,19706,1917,1,3,1000,100,100,1
10000,640,0.25,1,100,10984,1918,1,3,1000,100,100,1
25000,640,0.25,1,250,40050,1919,1,3,1000,100,100,1
50000,640,0.25,1,500,53201,1920,1,3,1000,100,100,1
10000,641,0.25,1,100,39221,1921,1,3,1000,100,100,1
25000,641,0.25,1,250,22596,1922,1,3,1000,100,100,1
50000,641,0.25,1,500,97119,1923,1,3,1000,100,100,1
10000,642,0.25,1,100,11114,1924,1,3,1000,100,100,1
25000,642,0.25,1,250,18033,1925,1,3,1000,100,100,1
50000,642,0.25,1,500,59984,1926,1,3,1000,100,100,1
10000,643,0.25,1,100,65083,1927,1,3,1000,100,100,1
25000,643,0.25,1,250,191,1928,1,3,1000,100,100,1
50000,643,0.25,1,500,67215,1929,1,3,1000,100,100,1
10000,644,0.25,1,100,6852,1930,1,3,1000,100,100,1
25000,644,0.25,1,250,93574,1931,1,3,1000,100,100,1
50000,644,0.25,1,500,60959,1932,1,3,1000,100,100,1
10000,645,0.25,1,100,14439,1933,1,3,1000,100,100,1
25000,645,0.25,1,250,11825,1934,1,3,1000,100,100,1
50000,645,0.25,1,500,62764,1935,1,3,1000,100,100,1
10000,646,0.25,1,100,30977,1936,1,3,1000,100,100,1
25000,646,0.25,1,250,11917,1937,1,3,1000,100,100,1
50000,646,0.25,1,500,57177,1938,1,3,1000,100,100,1
10000,647,0.25,1,100,29881,1939,1,3,1000,100,100,1
25000,647,0.25,1,250,70676,1940,1,3,1000,100,100,1
50000,647,0.25,1,500,23437,1941,1,3,1000,100,100,1
10000,648,0.25,1,100,11208,1942,1,3,1000,100,100,1
25000,648,0.25,1,250,27678,1943,1,3,1000,100,100,1
50000,648,0.25,1,500,21106,1944,1,3,1000,100,100,1
10000,649,0.25,1,100,75753,1945,1,3,1000,100,100,1
25000,649,0.25,1,250,47570,1946,1,3,1000,100,100,1
50000,649,0.25,1,500,82896,1947,1,3,1000,100,100,1
10000,650,0.25,1,100,65682,1948,1,3,1000,100,100,1
25000,650,0.25,1,250,48902,1949,1,3,1000,100,100,1
50000,650,0.25,1,500,88630,1950,1,3,1000,100,100,1
10000,651,0.25,1,100,97132,1951,1,3,1000,100,100,1
25000,651,0.25,1,250,22751,1952,1,3,1000,100,100,1
50000,651,0.25,1,500,97525,1953,1,3,1000,100,100,1
10000,652,0.25,1,100,37804,1954,1,3,1000,100,100,1
25000,652,0.25,1,250,21289,1955,1,3,1000,100,100,1
50000,652,0.25,1,500,78049,1956,1,3,1000,100,100,1
10000,653,0.25,1,100,23754,1957,1,3,1000,100,100,1
25000,653,0.25,1,250,42921,1958,1,3,1000,100,100,1
50000,653,0.25,1,500,79530,1959,1,3,1000,100,100,1
10000,654,0.25,1,100,6996,1960,1,3,1000,100,100,1
25000,654,0.25,1,250,39069,1961,1,3,1000,100,100,1
50000,654,0.25,1,500,50437,1962,1,3,1000,100,100,1
10000,655,0.25,1,100,38132,1963,1,3,1000,100,100,1
25000,655,0.25,1,250,36397,1964,1,3,1000,100,100,1
50000,655,0.25,1,500,48281,1965,1,3,1000,100,100,1
10000,656,0.25,1,100,30971,1966,1,3,1000,100,100,1
25000,656,0.25,1,250,52943,1967,1,3,1000,100,100,1
50000,656,0.25,1,500,43082,1968,1,3,1000,100,100,1
10000,657,0.25,1,100,14847,1969,1,3,1000,100,100,1
25000,657,0.25,1,250,23655,1970,1,3,1000,100,100,1
50000,657,0.25,1,500,67403,1971,1,3,1000,100,100,1
10000,658,0.25,1,100,27813,1972,1,3,1000,100,100,1
25000,658,0.25,1,250,61615,1973,1,3,1000,100,100,1
50000,658,0.25,1,500,81330,1974,1,3,1000,100,100,1
10000,659,0.25,1,100,35892,1975,1,3,1000,100,100,1
25000,659,0.25,1,250,76369,1976,1,3,1000,100,100,1
50000,659,0.25,1,500,15627,1977,1,3,1000,100,100,1
10000,660,0.25,1,100,9148,1978,1,3,1000,100,100,1
25000,660,0.25,1,250,14267,1979,1,3,1000,100,100,1
50000,660,0.25,1,500,68508,1980,1,3,1000,100,100,1
10000,661,0.25,1,100,48627,1981,1,3,1000,100,100,1
25000,661,0.25,1,250,72865,1982,1,3,1000,100,100,1
50000,661,0.25,1,500,60653,1983,1,3,1000,100,100,1
10000,662,0.25,1,100,98649,1984,1,3,1000,100,100,1
25000,662,0.25,1,250,16464,1985,1,3,1000,100,100,1
50000,662,0.25,1,500,36971,1986,1,3,1000,100,100,1
10000,663,0.25,1,100,43121,1987,1,3,1000,100,100,1
25000,663,0.25,1,250,8865,1988,1,3,1000,100,100,1
50000,663,0.25,1,500,61370,1989,1,3,1000,100,100,1
10000,664,0.25,1,100,52767,1990,1,3,1000,100,100,1
25000,664,0.25,1,250,36537,1991,1,3,1000,100,100,1
50000,664,0.25,1,500,6566,1992,1,3,1000,100,100,1
10000,665,0.25,1,100,32558,1993,1,3,1000,100,100,1
25000,665,0.25,1,250,81034,1994,1,3,1000,100,100,1
50000,665,0.25,1,500,78523,1995,1,3,1000,100,100,1
10000,666,0.25,1,100,95285,1996,1,3,1000,100,100,1
25000,666,0.25,1,250,29351,1997,1,3,1000,100,100,1
50000,666,0.25,1,500,30541,1998,1,3,1000,100,100,1
10000,667,0.25,1,100,80667,1999,1,3,1000,100,100,1
25000,667,0.25,1,250,6360,2000,1,3,1000,100,100,1
50000,667,0.25,1,500,55990,2001,1,3,1000,100,100,1
10000,668,0.25,1,100,29955,2002,1,3,1000,100,100,1
25000,668,0.25,1,250,21103,2003,1,3,1000,100,100,1
50000,668,0.25,1,500,65495,2004,1,3,1000,100,100,1
10000,669,0.25,1,100,92036,2005,1,3,1000,100,100,1
25000,669,0.25,1,250,63745,2006,1,3,1000,100,100,1
50000,669,0.25,1,500,82057,2007,1,3,1000,100,100,1
10000,670,0.25,1,100,87223,2008,1,3,1000,100,100,1
25000,670,0.25,1,250,23516,2009,1,3,1000,100,100,1
50000,670,0.25,1,500,57286,2010,1,3,1000,100,100,1
10000,671,0.25,1,100,69171,2011,1,3,1000,100,100,1
25000,671,0.25,1,250,36277,2012,1,3,1000,100,100,1
50000,671,0.25,1,500,87629,2013,1,3,1000,100,100,1
10000,672,0.25,1,100,24899,2014,1,3,1000,100,100,1
25000,672,0.25,1,250,15341,2015,1,3,1000,100,100,1
50000,672,0.25,1,500,51032,2016,1,3,1000,100,100,1
10000,673,0.25,1,100,97082,2017,1,3,1000,100,100,1
25000,673,0.25,1,250,21423,2018,1,3,1000,100,100,1
50000,673,0.25,1,500,26166,2019,1,3,1000,100,100,1
10000,674,0.25,1,100,1743,2020,1,3,1000,100,100,1
25000,674,0.25,1,250,95637,2021,1,3,1000,100,100,1
50000,674,0.25,1,500,92855,2022,1,3,1000,100,100,1
10000,675,0.25,1,100,24531,2023,1,3,1000,100,100,1
25000,675,0.25,1,250,71180,2024,1,3,1000,100,100,1
50000,675,0.25,1,500,42992,2025,1,3,1000,100,100,1
10000,676,0.25,1,100,45668,2026,1,3,1000,100,100,1
25000,676,0.25,1,250,22798,2027,1,3,1000,100,100,1
50000,676,0.25,1,500,59754,2028,1,3,1000,100,100,1
10000,677,0.25,1,100,97073,2029,1,3,1000,100,100,1
25000,677,0.25,1,250,62968,2030,1,3,1000,100,100,1
50000,677,0.25,1,500,92156,2031,1,3,1000,100,100,1
10000,678,0.25,1,100,71243,2032,1,3,1000,100,100,1
25000,678,0.25,1,250,25057,2033,1,3,1000,100,100,1
50000,678,0.25,1,500,39178,2034,1,3,1000,100,100,1
10000,679,0.25,1,100,86922,2035,1,3,1000,100,100,1
25000,679,0.25,1,250,67725,2036,1,3,1000,100,100,1
50000,679,0.25,1,500,95328,2037,1,3,1000,100,100,1
10000,680,0.25,1,100,80051,2038,1,3,1000,100,100,1
25000,680,0.25,1,250,16085,2039,1,3,1000,100,100,1
50000,680,0.25,1,500,85494,2040,1,3,1000,100,100,1
10000,681,0.25,1,100,71835,2041,1,3,1000,100,100,1
25000,681,0.25,1,250,88952,2042,1,3,1000,100,100,1
50000,681,0.25,1,500,21373,2043,1,3,1000,100,100,1
10000,682,0.25,1,100,79694,2044,1,3,1000,100,100,1
25000,682,0.25,1,250,16618,2045,1,3,1000,100,100,1
50000,682,0.25,1,500,5867,2046,1,3,1000,100,100,1
10000,683,0.25,1,100,19212,2047,1,3,1000,100,100,1
25000,683,0.25,1,250,23297,2048,1,3,1000,100,100,1
50000,683,0.25,1,500,2974,2049,1,3,1000,100,100,1
10000,684,0.25,1,100,65966,2050,1,3,1000,100,100,1
25000,684,0.25,1,250,69119,2051,1,3,1000,100,100,1
50000,684,0.25,1,500,43593,2052,1,3,1000,100,100,1
10000,685,0.25,1,100,13650,2053,1,3,1000,100,100,1
25000,685,0.25,1,250,47982,2054,1,3,1000,100,100,1
50000,685,0.25,1,500,72360,2055,1,3,1000,100,100,1
10000,686,0.25,1,100,14257,2056,1,3,1000,100,100,1
25000,686,0.25,1,250,23219,2057,1,3,1000,100,100,1
50000,686,0.25,1,500,11427,2058,1,3,1000,100,100,1
10000,687,0.25,1,100,13641,2059,1,3,1000,100,100,1
25000,687,0.25,1,250,77612,2060,1,3,1000,100,100,1
50000,687,0.25,1,500,90518,2061,1,3,1000,100,100,1
10000,688,0.25,1,100,70905,2062,1,3,1000,100,100,1
25000,688,0.25,1,250,52187,2063,1,3,1000,100,100,1
50000,688,0.25,1,500,22462,2064,1,3,1000,100,100,1
10000,689,0.25,1,100,69389,2065,1,3,1000,100,100,1
25000,689,0.25,1,250,88886,2066,1,3,1000,100,100,1
50000,689,0.25,1,500,60138,2067,1,3,1000,100,100,1
10000,690,0.25,1,100,96714,2068,1,3,1000,100,100,1
25000,690,0.25,1,250,43638,2069,1,3,1000,100,100,1
50000,690,0.25,1,500,80692,2070,1,3,1000,100,100,1
10000,691,0.25,1,100,31687,2071,1,3,1000,100,100,1
25000,691,0.25,1,250,55904,2072,1,3,1000,100,100,1
50000,691,0.25,1,500,35722,2073,1,3,1000,100,100,1
10000,692,0.25,1,100,72745,2074,1,3,1000,100,100,1
25000,692,0.25,1,250,74366,2075,1,3,1000,100,100,1
50000,692,0.25,1,500,25345,2076,1,3,1000,100,100,1
10000,693,0.25,1,100,79791,2077,1,3,1000,100,100,1
25000,693,0.25,1,250,58011,2078,1,3,1000,100,100,1
50000,693,0.25,1,500,2180,2079,1,3,1000,100,100,1
10000,694,0.25,1,100,57706,2080,1,3,1000,100,100,1
25000,694,0.25,1,250,39945,2081,1,3,1000,100,100,1
