"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
25000,30,0.25,1,250,35601,89,1,3,1000,100,100,1
50000,30,0.25,1,500,39289,90,1,3,1000,100,100,1
10000,31,0.25,1,100,74514,91,1,3,1000,100,100,1
25000,31,0.25,1,250,72623,92,1,3,1000,100,100,1
50000,31,0.25,1,500,99666,93,1,3,1000,100,100,1
10000,32,0.25,1,100,78256,94,1,3,1000,100,100,1
25000,32,0.25,1,250,68418,95,1,3,1000,100,100,1
50000,32,0.25,1,500,17518,96,1,3,1000,100,100,1
10000,33,0.25,1,100,73291,97,1,3,1000,100,100,1
25000,33,0.25,1,250,72754,98,1,3,1000,100,100,1
50000,33,0.25,1,500,4416,99,1,3,1000,100,100,1
10000,34,0.25,1,100,94166,100,1,3,1000,100,100,1
25000,34,0.25,1,250,41244,101,1,3,1000,100,100,1
50000,34,0.25,1,500,38203,102,1,3,1000,100,100,1
10000,35,0.25,1,100,10165,103,1,3,1000,100,100,1
25000,35,0.25,1,250,4359,104,1,3,1000,100,100,1
50000,35,0.25,1,500,18835,105,1,3,1000,100,100,1
10000,36,0.25,1,100,68512,106,1,3,1000,100,100,1
25000,36,0.25,1,250,93397,107,1,3,1000,100,100,1
50000,36,0.25,1,500,52664,108,1,3,1000,100,100,1
10000,37,0.25,1,100,70276,109,1,3,1000,100,100,1
25000,37,0.25,1,250,29257,110,1,3,1000,100,100,1
50000,37,0.25,1,500,24254,111,1,3,1000,100,100,1
10000,38,0.25,1,100,26976,112,1,3,1000,100,100,1
25000,38,0.25,1,250,26564,113,1,3,1000,100,100,1
50000,38,0.25,1,500,32355,114,1,3,1000,100,100,1
10000,39,0.25,1,100,17883,115,1,3,1000,100,100,1
25000,39,0.25,1,250,98558,116,1,3,1000,100,100,1
50000,39,0.25,1,500,82854,117,1,3,1000,100,100,1
10000,40,0.25,1,100,7197,118,1,3,1000,100,100,1
25000,40,0.25,1,250,15450,119,1,3,1000,100,100,1
50000,40,0.25,1,500,3850,120,1,3,1000,100,100,1
10000,41,0.25,1,100,75003,121,1,3,1000,100,100,1
25000,41,0.25,1,250,74330,122,1,3,1000,100,100,1
50000,41,0.25,1,500,96633,123,1,3,1000,100,100,1
10000,42,0.25,1,100,68934,124,1,3,1000,100,100,1
25000,42,0.25,1,250,29513,125,1,3,1000,100,100,1
50000,42,0.25,1,500,65228,126,1,3,1000,100,100,1
10000,43,0.25,1,100,71332,127,1,3,1000,100,100,1
25000,43,0.25,1,250,80294,128,1,3,1000,100,100,1
50000,43,0.25,1,500,55736,129,1,3,1000,100,100,1
10000,44,0.25,1,100,47107,130,1,3,1000,100,100,1
25000,44,0.25,1,250,66038,131,1,3,1000,100,100,1
50000,44,0.25,1,500,31082,132,1,3,1000,100,100,1
10000,45,0.25,1,100,93364,133,1,3,1000,100,100,1
25000,45,0.25,1,250,81401,134,1,3,1000,100,100,1
50000,45,0.25,1,500,74237,135,1,3,1000,100,100,1
10000,46,0.25,1,100,89535,136,1,3,1000,100,100,1
25000,46,0.25,1,250,1402,137,1,3,1000,100,100,1
50000,46,0.25,1,500,1489,138,1,3,1000,100,100,1
10000,47,0.25,1,100,83297,139,1,3,1000,100,100,1
25000,47,0.25,1,250,79704,140,1,3,1000,100,100,1
50000,47,0.25,1,500,61699,141,1,3,1000,100,100,1
10000,48,0.25,1,100,14644,142,1,3,1000,100,100,1
25000,48,0.25,1,250,61433,143,1,3,1000,100,100,1
50000,48,0.25,1,500,52146,144,1,3,1000,100,100,1
10000,49,0.25,1,100,37388,145,1,3,1000,100,100,1
25000,49,0.25,1,250,9863,146,1,3,1000,100,100,1
50000,49,0.25,1,500,63738,147,1,3,1000,100,100,1
10000,50,0.25,1,100,38970,148,1,3,1000,100,100,1
25000,50,0.25,1,250,23856,149,1,3,1000,100,100,1
50000,50,0.25,1,500,63747,150,1,3,1000,100,100,1
10000,51,0.25,1,100,88615,151,1,3,1000,100,100,1
25000,51,0.25,1,250,40132,152,1,3,1000,100,100,1
50000,51,0.25,1,500,43080,153,1,3,1000,100,100,1
10000,52,0.25,1,100,25922,154,1,3,1000,100,100,1
25000,52,0.25,1,250,72430,155,1,3,1000,100,100,1
50000,52,0.25,1,500,71840,156,1,3,1000,100,100,1
10000,53,0.25,1,100,99301,157,1,3,1000,100,100,1
25000,53,0.25,1,250,54371,158,1,3,1000,100,100,1
50000,53,0.25,1,500,75058,159,1,3,1000,100,100,1
10000,54,0.25,1,100,78086,160,1,3,1000,100,100,1
25000,54,0.25,1,250,12874,161,1,3,1000,100,100,1
